"match_id","match_run_time_in_ms","match_run_time","match_time_in_ms","event_id","player_seq_id","event_order","half_time","side","category","event","event_type","action_type","from_player_id","from_player_name","from_player_shirt_number","to_player_id","to_player_name","to_player_shirt_number","team_id","team_name","sequence_type","outcome","outcome_additional","opposition_touch","body_type","direction","pressure","style","style_additional","frame_location","game_state","origin","origin_additional","save_type","save_detail","stance","x_frame","y_frame","movement","offering_to_receive_total_units","line_break_direction","line_break_outcome","team_shape","team_unit","team_units_broken","total_team_units","event_end_time_in_ms","x","x_mirrored","y","y_mirrored","x_location_start","x_location_start_mirrored","x_location_end","x_location_end_mirrored","y_location_start","y_location_start_mirrored","y_location_end","y_location_end_mirrored"
133021,0,"00:00:00",0,1,1,1,1,"l","in_possession","kickoff","start_restart","",447866,"GAVI",9,"","","",43969,"SPAIN","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.5010476190476191,0.5010476190476191,0.49323529411764705,0.49323529411764705,"","","","","","","",""
133021,0,"00:00:00",0,2,1,2,1,"l","in_possession","pass","distribution","",447866,"GAVI",9,335999,"AYMERIC LAPORTE",24,43969,"SPAIN","","possession_complete","","","right_foot","","no_pressure","push","","","","","","","","","","","","","","no_line_break","","","","","",0.5010476190476191,0.5010476190476191,0.49323529411764705,0.49323529411764705,0.5010476190476191,0.5010476190476191,0.31285714285714283,0.31285714285714283,0.49323529411764705,0.49323529411764705,0.5623529411764706,0.5623529411764706
133021,299,"00:00:01",299,3,2,1,1,"r","out_of_possession","pushing_on","defensive_pressure","",321722,"THOMAS MUELLER",13,"","","",43948,"GERMANY","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.5000952380952381,0.49990476190476185,0.6252941176470588,0.3747058823529412,"","","","","","","",""
133021,1620,"00:00:02",1620,4,1,3,1,"l","in_possession","possession_outcome","possession_outcome","",447866,"GAVI",9,"","","",43969,"SPAIN","possession","possession_complete","","","","","","","","","","","","","","","","","","","","","","","","","",0.31285714285714283,0.31285714285714283,0.5623529411764706,0.5623529411764706,"","","","","","","",""
133021,1639,"00:00:02",1639,5,2,2,1,"r","out_of_possession","pressing","defensive_pressure","",321722,"THOMAS MUELLER",13,"","","",43948,"GERMANY","","","","","","shown_inside","indirect_pressure","","","","","","","","","","","","","","","","","","","","",0.44904761904761903,0.550952380952381,0.6075,0.39249999999999996,"","","","","","","",""
133021,1689,"00:00:02",1689,6,3,1,1,"l","in_possession","no_offer","offering_to_receive","",335999,"AYMERIC LAPORTE",24,"","","",43969,"SPAIN","","","","","","","","","","","","","","","","","","","no_movement",3,"","","","","","",1689,0.31047619047619046,0.31047619047619046,0.5679411764705883,0.5679411764705883,"","","","","","","",""
133021,1689,"00:00:02",1689,7,3,2,1,"l","in_possession","reception","receiving_possession","kickoff",335999,"AYMERIC LAPORTE",24,"","","",43969,"SPAIN","","","","","","","no_pressure","","","","","","","","","","","","","","","","inside","in_front","",3,"",0.31047619047619046,0.31047619047619046,0.5679411764705883,0.5679411764705883,"","","","","","","",""
133021,2689,"00:00:03",2689,8,2,3,1,"r","out_of_possession","possession_outcome","possession_outcome","",321722,"THOMAS MUELLER",13,"","","",43948,"GERMANY","possession","","","","","","","","","","","","","","","","","","","","","","","","","","",0.3975238095238095,0.6024761904761905,0.5919117647058824,0.40808823529411764,"","","","","","","",""
133021,2709,"00:00:03",2709,9,3,3,1,"l","in_possession","pass","distribution","",335999,"AYMERIC LAPORTE",24,411375,"RODRI",16,43969,"SPAIN","","possession_complete","","","left_foot","","no_pressure","push","","","","","","","","","","","","","","no_line_break","","","","","",0.3201904761904762,0.3201904761904762,0.5648529411764706,0.5648529411764706,0.3201904761904762,0.3201904761904762,0.34114285714285714,0.34114285714285714,0.5648529411764706,0.5648529411764706,0.355,0.355
133021,3809,"00:00:04",3809,10,4,1,1,"l","in_possession","no_offer","offering_to_receive","",411375,"RODRI",16,"","","",43969,"SPAIN","","","","","","","","","","","","","","","","","","","no_movement",3,"","","","","","",3809,0.3394285714285714,0.3394285714285714,0.3608823529411765,0.3608823529411765,"","","","","","","",""
133021,3809,"00:00:04",3809,11,4,2,1,"l","in_possession","reception","receiving_possession","pass",411375,"RODRI",16,"","","",43969,"SPAIN","","","","","","","no_pressure","","","","","","","","","","","","","","","","outside","in_front","",3,"",0.3394285714285714,0.3394285714285714,0.3608823529411765,0.3608823529411765,"","","","","","","",""
133021,3839,"00:00:04",3839,12,3,4,1,"l","in_possession","possession_outcome","possession_outcome","",335999,"AYMERIC LAPORTE",24,"","","",43969,"SPAIN","possession","possession_complete","","","","","","","","","","","","","","","","","","","","","","","","","",0.34114285714285714,0.34114285714285714,0.355,0.355,"","","","","","","",""
133021,5029,"00:00:05",5029,13,5,1,1,"r","out_of_possession","pressing","defensive_pressure","",321722,"THOMAS MUELLER",13,"","","",43948,"GERMANY","","","","","","shown_outside","indirect_pressure","","","","","","","","","","","","","","","","","","","","",0.38495238095238093,0.6150476190476191,0.4235294117647059,0.5764705882352941,"","","","","","","",""
133021,5719,"00:00:06",5719,14,4,3,1,"l","in_possession","pass","distribution","",411375,"RODRI",16,405545,"FERRAN TORRES",11,43969,"SPAIN","","possession_complete","","","right_foot","","indirect_pressure","lofted","switch_of_play","","","","","","","","","","","","over","line_break_complete","outside","","1",2,"",0.35514285714285715,0.35514285714285715,0.30676470588235294,0.30676470588235294,0.35514285714285715,0.35514285714285715,0.6516190476190477,0.6516190476190477,0.30676470588235294,0.30676470588235294,0.87,0.87
133021,5719,"00:00:06",5719,15,5,2,1,"r","out_of_possession","possession_outcome","possession_outcome","",321722,"THOMAS MUELLER",13,"","","",43948,"GERMANY","possession","","","","","","","","","","","","","","","","","","","","","","","","","","",0.381047619047619,0.6189523809523809,0.3726470588235294,0.6273529411764707,"","","","","","","",""
133021,6779,"00:00:07",6779,16,6,1,1,"r","out_of_possession","pushing_on","defensive_pressure","",395481,"THILO KEHRER",5,"","","",43948,"GERMANY","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.706952380952381,0.293047619047619,0.7166176470588236,0.2833823529411764,"","","","","","","",""
133021,7029,"00:00:07",7029,17,7,1,1,"l","in_possession","offer","offering_to_receive","",423646,"PEDRI",26,"","","",43969,"SPAIN","","","","","","","","","","","","","","","","","","","in_behind",2,"","","outside","in_behind","","",11279,0.6960952380952381,0.6960952380952381,0.65,0.65,0.7741158,0.7741158,0.799047619047619,0.799047619047619,0.872604,0.872604,0.9286764705882353,0.9286764705882353
133021,7929,"00:00:08",7929,18,8,1,1,"r","out_of_possession","pushing_on","defensive_pressure","",379955,"ANTONIO RUEDIGER",2,"","","",43948,"GERMANY","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.708952380952381,0.291047619047619,0.41102941176470587,0.5889705882352941,"","","","","","","",""
